Feature.ID	Confidence.y	Kingdom	Phylum	Class	Order	Family	Genus	Species
02a7ef3a004b68421e317bddb7994726	0.9999950358527775	k__Bacteria	p__Firmicutes	c__Bacilli	o__Bacillales	f__Staphylococcaceae	g__Staphylococcus	s__auricularis
07de6ea8bab1e7a6851394478e8db2e5	0.9998107586948817	k__Bacteria	p__Firmicutes	c__Bacilli	o__Bacillales	f__Staphylococcaceae	g__Staphylococcus	s__pasteuri
07e33b9de9aa66b0e344427e77d8b013	0.999865865649819	k__Bacteria	p__Firmicutes	c__Bacilli	o__Bacillales	f__Staphylococcaceae	g__Staphylococcus	s__warneri
0d240452db7ac134500cfadbcaf67649	0.9836311981536667	k__Bacteria	p__Firmicutes	c__Bacilli	o__Bacillales	f__Staphylococcaceae	g__Staphylococcus	s__hominis
0ecdf9ea99804edac8950fed53ec18ef	0.9984056591868341	k__Bacteria	p__Firmicutes	c__Bacilli	o__Bacillales	f__Staphylococcaceae	g__Staphylococcus	s__cohnii
0f95b02ac4fb9eef672ec3f47512de20	0.9999949583935619	k__Bacteria	p__Firmicutes	c__Bacilli	o__Bacillales	f__Staphylococcaceae	g__Staphylococcus	s__pseudintermedius
0fcc4540a428eae32824b22a08b99ed0	0.9999973560320962	k__Bacteria	p__Firmicutes	c__Bacilli	o__Bacillales	f__Staphylococcaceae	g__Staphylococcus	s__auricularis
112984686c68c0d15f5784c89e78841e	0.944260770733424	k__Bacteria	p__Firmicutes	c__Bacilli	o__Bacillales	f__Staphylococcaceae	g__Staphylococcus	s__saprophyticus
126b2b496a31fd693beb4fd66e0b1826	0.9979162837115979	k__Bacteria	p__Firmicutes	c__Bacilli	o__Bacillales	f__Staphylococcaceae	g__Staphylococcus	s__hominis
12f1d95b5386769085b1495808fe9f45	0.9974419576181769	k__Bacteria	p__Firmicutes	c__Bacilli	o__Bacillales	f__Staphylococcaceae	g__Staphylococcus	s__cohnii
1362c34d7cbbf85412a0979abc28e6b2	0.9970660327891239	k__Bacteria	p__Firmicutes	c__Bacilli	o__Bacillales	f__Staphylococcaceae	g__Staphylococcus	s__cohnii
1410b0507fe558ae1d286d595287b231	0.9998942978757632	k__Bacteria	p__Firmicutes	c__Bacilli	o__Bacillales	f__Staphylococcaceae	g__Staphylococcus	s__lugdunensis
167f510699a4bf78d0d137852d49b6a4	0.9747809935675688	k__Bacteria	p__Firmicutes	c__Bacilli	o__Bacillales	f__Staphylococcaceae	g__Staphylococcus	s__hominis
18f0ea9344521b697b31d01ff93190b4	0.999958188280228	k__Bacteria	p__Firmicutes	c__Bacilli	o__Bacillales	f__Staphylococcaceae	g__Staphylococcus	s__warneri
19c808417243333997c7bcb4f9fdcf59	0.9998038546315027	k__Bacteria	p__Firmicutes	c__Bacilli	o__Bacillales	f__Staphylococcaceae	g__Staphylococcus	s__condimenti
1fe372d6ee6d871b412ef9089e0fe1cc	0.9999983602916075	k__Bacteria	p__Firmicutes	c__Bacilli	o__Bacillales	f__Staphylococcaceae	g__Staphylococcus	s__auricularis
1ff8b508d69193c69d77f811f7d19928	0.9999728908312407	k__Bacteria	p__Firmicutes	c__Bacilli	o__Bacillales	f__Staphylococcaceae	g__Staphylococcus	s__condimenti
2078825418da733e79777390e92cb363	0.9933257038810522	k__Bacteria	p__Firmicutes	c__Bacilli	o__Bacillales	f__Staphylococcaceae	g__Staphylococcus	s__hominis
2c3def3a392d325fecd92913c9bf3206	0.9999932338421584	k__Bacteria	p__Firmicutes	c__Bacilli	o__Bacillales	f__Staphylococcaceae	g__Staphylococcus	s__cohnii
2e9b97f66d57da9e5a93e72086ae2b1a	0.9073213523493651	k__Bacteria	p__Firmicutes	c__Bacilli	o__Bacillales	f__Staphylococcaceae	g__Staphylococcus	s__capitis
31b659cf6c2d2cee5207a049a1bff54f	0.8695605723278395	k__Bacteria	p__Firmicutes	c__Bacilli	o__Bacillales	f__Staphylococcaceae	g__Staphylococcus	s__hominis
32911b61a5e27172bc7de81c898c8d4b	0.9881867664578092	k__Bacteria	p__Firmicutes	c__Bacilli	o__Bacillales	f__Staphylococcaceae	g__Staphylococcus	s__hominis
32d1c23b0b5508bf08d4299a62778d72	0.9999461873674212	k__Bacteria	p__Firmicutes	c__Bacilli	o__Bacillales	f__Staphylococcaceae	g__Staphylococcus	s__cohnii
341e66391515810e9671a60cf77be29e	0.9969590256173443	k__Bacteria	p__Firmicutes	c__Bacilli	o__Bacillales	f__Staphylococcaceae	g__Staphylococcus	s__simulans
3e6635272ab06057ec62351cfb68dcd5	0.9321183256148013	k__Bacteria	p__Firmicutes	c__Bacilli	o__Bacillales	f__Staphylococcaceae	g__Staphylococcus	s__hominis
3f21810df5617ae9a0d56b39903aa589	0.9999915411468341	k__Bacteria	p__Firmicutes	c__Bacilli	o__Bacillales	f__Staphylococcaceae	g__Staphylococcus	s__pseudintermedius
47ed3c21277081e9e7e1d910b3fb2cda	0.9973664157616988	k__Bacteria	p__Firmicutes	c__Bacilli	o__Bacillales	f__Staphylococcaceae	g__Staphylococcus	s__hominis
4953223445cd41d72a36a5218e64a566	0.9915765068629538	k__Bacteria	p__Firmicutes	c__Bacilli	o__Bacillales	f__Staphylococcaceae	g__Staphylococcus	s__hominis
4a0f54efd58d20fbff539d68b22275d3	0.9894537055588718	k__Bacteria	p__Firmicutes	c__Bacilli	o__Bacillales	f__Staphylococcaceae	g__Staphylococcus	s__hominis
4cce2d51f4ef489289f6f8b4fb83e03a	0.7872387581031468	k__Bacteria	p__Firmicutes	c__Bacilli	o__Bacillales	f__Staphylococcaceae	g__Staphylococcus	s__devriesei
4fe6e4de96545ed4de389d35ead99d95	0.9912123661578714	k__Bacteria	p__Firmicutes	c__Bacilli	o__Bacillales	f__Staphylococcaceae	g__Staphylococcus	s__simulans
53c9b3eb8f0ab19fb0b5599abf043af5	0.9669864237129344	k__Bacteria	p__Firmicutes	c__Bacilli	o__Bacillales	f__Staphylococcaceae	g__Staphylococcus	s__capitis
581127d254845b0cf1716abcf70c5f14	0.9999400444385919	k__Bacteria	p__Firmicutes	c__Bacilli	o__Bacillales	f__Staphylococcaceae	g__Staphylococcus	s__warneri
5adb186801eac1c88c633eaf09d577a1	0.977362718577742	k__Bacteria	p__Firmicutes	c__Bacilli	o__Bacillales	f__Staphylococcaceae	g__Staphylococcus	s__saprophyticus
60f4392c253b87b8c4d2e196f047aa31	0.9998798179435251	k__Bacteria	p__Firmicutes	c__Bacilli	o__Bacillales	f__Staphylococcaceae	g__Staphylococcus	s__warneri
61c3b80ad1b9f95bdbe3a950ad666890	0.9999791338121528	k__Bacteria	p__Firmicutes	c__Bacilli	o__Bacillales	f__Staphylococcaceae	g__Staphylococcus	s__auricularis
64b2324ff5a7d633751739299b7eebaf	0.9999918916277044	k__Bacteria	p__Firmicutes	c__Bacilli	o__Bacillales	f__Staphylococcaceae	g__Staphylococcus	s__auricularis
6c0d23619d7c929e67af0e7f939bb480	0.9999972200885722	k__Bacteria	p__Firmicutes	c__Bacilli	o__Bacillales	f__Staphylococcaceae	g__Staphylococcus	s__auricularis
6e71e9af0c8d094a9576a4b1d8854014	0.9997707352458065	k__Bacteria	p__Firmicutes	c__Bacilli	o__Bacillales	f__Staphylococcaceae	g__Staphylococcus	s__lugduensis
6f6ba07c97e8d04b3fee421a3b9197bf	0.9999871558321801	k__Bacteria	p__Firmicutes	c__Bacilli	o__Bacillales	f__Staphylococcaceae	g__Staphylococcus	s__schleiferi
7062bcdb9b38e7f37356c2e99d27247e	0.9999915522101894	k__Bacteria	p__Firmicutes	c__Bacilli	o__Bacillales	f__Staphylococcaceae	g__Staphylococcus	s__pseudolugdunensis
73855e99607010d3bd575234ab2b5e95	0.9999909617168221	k__Bacteria	p__Firmicutes	c__Bacilli	o__Bacillales	f__Staphylococcaceae	g__Staphylococcus	s__pseudolugdunensis
75a60de21467356d46a4aae9f31b67ad	0.9999862701855674	k__Bacteria	p__Firmicutes	c__Bacilli	o__Bacillales	f__Staphylococcaceae	g__Staphylococcus	s__hominis
77e9f9d7eb8aa94915288c5487e1070f	0.9806351868382555	k__Bacteria	p__Firmicutes	c__Bacilli	o__Bacillales	f__Staphylococcaceae	g__Staphylococcus	s__hominis
7905d2d70a51a5ec6feccfa6bf39078e	0.965252281685706	k__Bacteria	p__Firmicutes	c__Bacilli	o__Bacillales	f__Staphylococcaceae	g__Staphylococcus	s__saprophyticus
7a1b759b7c52c76eee87856ed27aa114	0.9981067540004936	k__Bacteria	p__Firmicutes	c__Bacilli	o__Bacillales	f__Staphylococcaceae	g__Staphylococcus	s__cohnii
8056e70fab7889a152333c5756e6fa0b	0.9999916590451341	k__Bacteria	p__Firmicutes	c__Bacilli	o__Bacillales	f__Staphylococcaceae	g__Staphylococcus	s__schleiferi
82237f01aa166289237be1d4746effe2	0.8021437218963795	k__Bacteria	p__Firmicutes	c__Bacilli	o__Bacillales	f__Staphylococcaceae	g__Staphylococcus	s__capitis
8436977e526ad02d07a9c859c45654ad	0.9982911810999672	k__Bacteria	p__Firmicutes	c__Bacilli	o__Bacillales	f__Staphylococcaceae	g__Staphylococcus	s__hominis
84ec1202d915c9c1bc7106797712831e	0.9984878667130876	k__Bacteria	p__Firmicutes	c__Bacilli	o__Bacillales	f__Staphylococcaceae	g__Staphylococcus	s__hominis
859db7b04b3d2da47f2b473784be2a87	0.9999834454588592	k__Bacteria	p__Firmicutes	c__Bacilli	o__Bacillales	f__Staphylococcaceae	g__Staphylococcus	s__pseudintermedius
8f5df8ae9f27cf713b9dfa93aca0a20b	0.9606092060268414	k__Bacteria	p__Firmicutes	c__Bacilli	o__Bacillales	f__Staphylococcaceae	g__Staphylococcus	s__hominis
904a0c872906a7d72755c3aff0edb391	0.9990090036662734	k__Bacteria	p__Firmicutes	c__Bacilli	o__Bacillales	f__Staphylococcaceae	g__Staphylococcus	s__cohnii
91b4d700e7743cfbfff31676025b43e0	0.999995270773083	k__Bacteria	p__Firmicutes	c__Bacilli	o__Bacillales	f__Staphylococcaceae	g__Staphylococcus	s__pseudolugdunesis
956b2c02d6a616ff91c98526881c40bc	0.987274680642009	k__Bacteria	p__Firmicutes	c__Bacilli	o__Bacillales	f__Staphylococcaceae	g__Staphylococcus	s__hominis
97449046f0e9124f3c2d8f9ac5383fee	0.9998584293268882	k__Bacteria	p__Firmicutes	c__Bacilli	o__Bacillales	f__Staphylococcaceae	g__Staphylococcus	s__warneri
97c0923774ea1f04d4c6618b227b0beb	0.9999947721549006	k__Bacteria	p__Firmicutes	c__Bacilli	o__Bacillales	f__Staphylococcaceae	g__Staphylococcus	s__pseudolugdunesis
9836fa3eadd27500b39f0bab8bd8592f	0.8870310707559949	k__Bacteria	p__Firmicutes	c__Bacilli	o__Bacillales	f__Staphylococcaceae	g__Staphylococcus	s__saprophyticus
9bcfa387dad03a506d08d1abc4832ed0	0.9907298005813339	k__Bacteria	p__Firmicutes	c__Bacilli	o__Bacillales	f__Staphylococcaceae	g__Staphylococcus	s__hominis
9d394734e81c77cd267c8b71a38016a1	0.9998569099848856	k__Bacteria	p__Firmicutes	c__Bacilli	o__Bacillales	f__Staphylococcaceae	g__Staphylococcus	s__warneri
9e1ec63d173e678b712721b0c4df467b	0.9999031016314852	k__Bacteria	p__Firmicutes	c__Bacilli	o__Bacillales	f__Staphylococcaceae	g__Staphylococcus	s__piscifermentans
a97bcc66593c3f65eb862a1b7b8e24ff	0.9995194726390558	k__Bacteria	p__Firmicutes	c__Bacilli	o__Bacillales	f__Staphylococcaceae	g__Staphylococcus	s__lugdunesis
abecea95932e2267a6777eeae0f39cc3	0.9757643030538996	k__Bacteria	p__Firmicutes	c__Bacilli	o__Bacillales	f__Staphylococcaceae	g__Staphylococcus	s__hominis
ad66695a3a6cf8abd9ab8334e250d298	0.9999551757689454	k__Bacteria	p__Firmicutes	c__Bacilli	o__Bacillales	f__Staphylococcaceae	g__Staphylococcus	s__felis
b1391cfb20946615140829fc6c10a463	0.9915469864808375	k__Bacteria	p__Firmicutes	c__Bacilli	o__Bacillales	f__Staphylococcaceae	g__Staphylococcus	s__hominis
b7cbfafed250a087f6b295d0f3485192	0.9999318590355725	k__Bacteria	p__Firmicutes	c__Bacilli	o__Bacillales	f__Staphylococcaceae	g__Staphylococcus	s__condimenti
bb273d021f1bb80b5f74004d91e953eb	0.9869854597556497	k__Bacteria	p__Firmicutes	c__Bacilli	o__Bacillales	f__Staphylococcaceae	g__Staphylococcus	s__hominis
bde44ed4ef51222b863e8d7ae6f9f84a	0.9994510679994385	k__Bacteria	p__Firmicutes	c__Bacilli	o__Bacillales	f__Staphylococcaceae	g__Staphylococcus	s__pasteuri
c457893da01f7fc7a6d4c5198f7faf72	0.9557913866515296	k__Bacteria	p__Firmicutes	c__Bacilli	o__Bacillales	f__Staphylococcaceae	g__Staphylococcus	s__hominis
c4a2d3e73f158ba17c7b53c3419a2e77	0.9999942211460392	k__Bacteria	p__Firmicutes	c__Bacilli	o__Bacillales	f__Staphylococcaceae	g__Staphylococcus	s__pseudintermedius
c6fcb5497a3533996a37a0414782a586	0.9999901978583183	k__Bacteria	p__Firmicutes	c__Bacilli	o__Bacillales	f__Staphylococcaceae	g__Staphylococcus	s__pseudolugdunesis
c7c591114fbfd16e4a2179d405304667	0.999970363911117	k__Bacteria	p__Firmicutes	c__Bacilli	o__Bacillales	f__Staphylococcaceae	g__Staphylococcus	s__pseudintermedius
c8353900ce784a7bac5c3a2d3ee2b500	0.9999316322155163	k__Bacteria	p__Firmicutes	c__Bacilli	o__Bacillales	f__Staphylococcaceae	g__Staphylococcus	s__lugdunesis
c96a0cdbac1a6b85b7a6416ff390c4ad	0.9999817343979456	k__Bacteria	p__Firmicutes	c__Bacilli	o__Bacillales	f__Staphylococcaceae	g__Staphylococcus	s__pseudolugdunesis
c9e64c6bd2ad40f85ff6e9a261001c68	0.9999971564332029	k__Bacteria	p__Firmicutes	c__Bacilli	o__Bacillales	f__Staphylococcaceae	g__Staphylococcus	s__pseudintermedius
